2316680111906310794;2;10532;28;1;1267;1222;305075;244204;36;209;2;NULL;73747;8;NULL;NULL;1
2316680111906312843;1;1964;12;0;220;NULL;78837;50052;NULL;80;NULL;NULL;27500;2;NULL;NULL;0
2316680146266036858;9;18423;30;1;1363;907;497009;606267;6;476;1;NULL;117636;20;NULL;NULL;1
2316680146266037532;3;10254;28;1;743;721;844863;296742;6;86;1;NULL;105637;11;NULL;NULL;0
2316680146266038151;1;2812;17;0;275;NULL;127381;27842;NULL;85;NULL;NULL;27820;2;NULL;NULL;0
2316680146266043016;1;1512;11;0;165;NULL;72715;21340;NULL;80;NULL;NULL;21385;1;NULL;NULL;0
2316680146266045065;2;11336;27;0;833;820;308390;382750;6;191;1;NULL;94738;13;NULL;NULL;0
2316680180625775227;1;49;NULL;0;40;NULL;3606;NULL;NULL;80;NULL;NULL;760;NULL;NULL;NULL;0
2316680180625775900;1;5809;21;0;365;NULL;167734;75236;NULL;85;NULL;NULL;39105;3;NULL;NULL;0
2316680180625776519;3;12357;29;1;847;705;370249;368828;NULL;212;NULL;NULL;87818;11;NULL;NULL;0
2316680180625777748;1;135;2;0;90;NULL;7368;NULL;NULL;80;NULL;NULL;1630;NULL;NULL;NULL;0
2316680180625779455;4;6644;25;1;555;10;252019;132462;NULL;151;NULL;NULL;54618;7;NULL;NULL;1
2316680180625781385;3;6156;26;0;610;NULL;246631;130827;6;86;1;NULL;60872;7;NULL;NULL;1
2316680180625783434;3;5285;26;1;560;NULL;256293;114469;NULL;86;NULL;NULL;52388;5;NULL;NULL;0
2316680180625785483;3;8035;27;1;550;314;276967;187494;NULL;99;NULL;NULL;67236;7;NULL;NULL;0
2316680180625787532;1;1771;14;0;205;NULL;93842;49052;NULL;80;NULL;NULL;28191;2;NULL;NULL;0
2316680180625789581;1;488;4;0;178;NULL;51036;NULL;NULL;80;NULL;NULL;3575;NULL;NULL;NULL;0
2316680214985513596;2;3836;24;1;420;NULL;219498;99912;NULL;87;NULL;NULL;45265;4;NULL;NULL;0
2316680214985514268;9;22380;30;1;1145;927;396061;384499;6;400;1;NULL;108006;20;NULL;NULL;1
2316680214985514888;3;1296;9;0;190;NULL;73378;31591;6;80;1;NULL;24460;1;NULL;NULL;0
2316680214985517824;1;714;6;0;105;NULL;34416;NULL;NULL;80;NULL;NULL;5990;NULL;NULL;NULL;0
2316680214985525901;1;1252;10;0;165;NULL;79042;31591;NULL;80;NULL;NULL;22560;1;NULL;NULL;0
2316680214985527950;1;2117;17;0;345;296;128315;64596;6;80;1;NULL;37245;3;NULL;NULL;0
2316680249345251965;7;37208;30;1;1255;1219;5938544;337354;NULL;504;NULL;NULL;102553;15;2;128;1
2316680249345252637;6;35587;28;1;550;10;344081;180618;NULL;237;NULL;NULL;63786;9;NULL;NULL;1
